"","BE","SS","HH","HRLM","ICT","TT","IO","PC","ATI","GPI","TSI","NR","CR","NLR","ES","SI","DS"
"POL",4.4555051064172,5.98117609558866,6.13676559702062,4.58635823193036,5.88989411203822,4.73047631415573,4.89798896832981,5.02595192217399,3.66128451680491,4.71173057678417,2.95308755193169,2.83569454326401,3.30389252654693,3.60038713827316,4.97372224317217,3.75365501018553,3.37905825801383
"NLD",5.75963348942719,6.17954538146318,5.79165195284745,5.2314711921788,6.50777752162019,4.69853452924488,5.21029266078478,2.87416999478136,5.4338178898214,6.33208893438236,3.30332101809555,2.55153145523041,2.83990421860619,4.0775783202168,5.54817121236546,3.36768333844806,3.12291568348974
"CZE",5.15930056311229,6.35211355126354,6.70352292587246,4.63513576975554,6.01048730625579,5.12902983099126,5.05940887253488,4.39554994323662,3.67724573687678,5.01033901381194,3.66305887314735,2.01056423858867,2.25872806649481,2.25401957167376,5.25712558447447,3.00779500552472,2.74372166264215
"HUN",4.65333742018262,6.2641033355421,6.28689954551255,4.43648634870392,5.82160534991864,5.36372987149896,4.71299770716521,4.6807421109448,3.68205089956575,4.93832634343832,2.7052834578805,1.97174788371482,2.20078106599549,2.57304635656021,5.43449610143065,3.71157376429657,3.15045587853497
"ROU",4.48533001044695,5.6976647742822,6.01089162817605,4.15320995942031,5.41382509292949,3.70382022263056,4.81478358857673,5.12841222611163,3.43120427986164,3.50091691540501,4.37024870360864,2.5818779359169,2.17180569994624,2.16001517391382,5.18093398686926,5.32405112941609,3.11303378646111
"NZL",5.55232282543666,5.61782747686747,5.47257727505283,5.28920723752566,5.95082559080598,4.25175836092784,5.07448306609439,3.01528650792923,3.9942977599079,3.72722329304081,4.92943686679536,3.64489024159796,2.01533348262704,2.57646872034028,5.35483961715251,4.35864453304261,4.16634476885711
"SAU",4.95432356873856,6.36335221716775,4.79196000728759,4.58549538978905,6.00371835627348,4.42633681534953,3.09939277550874,4.51580593335577,4.963749078,3.837012887767,3.9582923708124,2.99482937278165,2.58213861969348,3.33336810700546,3.87154411588566,2.95539511040222,4.68948532487159
"PER",4.2181000671245,4.72532614416269,4.084184821484,3.91102346722462,4.53924273068885,4.82454018576292,3.86658871545637,5.22339710346288,3.28159882200866,2.70490700917114,2.43101400125213,4.7278416768353,3.01362750500318,2.34381803251247,4.28416051667945,4.84211277929898,3.33978066519888
"LVA",4.56803922315404,6.05332985310464,5.78869967506332,4.80086886222709,5.90337648588251,4.38702057169222,4.32529859104628,4.73212558359031,3.07607159546197,3.75192278173375,3.20021968622594,1.5890449245784,1.25265072784557,1.53041715288346,5.04265015596376,3.19189873871243,2.75691103616373
"ALB",4.54969451588301,5.97752125434808,4.89745668477239,4.54282261906876,4.90092182305826,5.18645646664567,4.55748423024643,4.99611139444406,3.22970825641123,3.33176144195594,3.00548448644602,2.16742305511861,1.28889943669286,1.52418478599277,4.91347741482685,3.27275845951348,3.42543693260209
"JOR",4.58162072417922,6.29513682011414,4.69270802350483,3.69647848625543,4.78693223928623,5.58088237537171,3.70435142747906,4.49703426640677,3.66180642245451,3.4485936949207,1.92407084856655,1.833173199101,1.64831624086984,2.19510455414215,4.21683944967565,4.07834391746175,3.86001724734777
"TTO",3.79855265924143,4.23542868248099,5.19866164960537,3.69326997604528,4.75712129392839,4.01562229660329,4.71369251963023,3.35865950377736,2.72473376024077,3.59585771679915,3.09362305153866,1.47472485237846,1.27719905911467,1.28587654941429,4.17600119837335,4.33720409945373,4.02930235880943
